L'Addition - Votre Z quotidien (PIZZA NAPOLI CARPENTRAS | 2026-08-14)

Vous trouverez ci-dessous les rapports de la journee du 2026-08-14 :

Dernier(s) service(s) cloture(s)

CA TTC : 928.60
CA HT : 843.81
Remises : 0.00
Offerts : 186.50
Couvert(s) : 0.00 | Panier moyen : 0.00 | Ticket moyen : 34.39
Corrections avant envoi en cuisine : 150.10
Corrections apres envoi en cuisine : 0.00
Annulations cuisine apres ticket de caisse / fermeture de commande : 65.80
Commentaire : Aucun commentaire

Ventes (solide/liquide, quantite DESC)

Categorie	Produit	QTE	TTC	HT
LES CLASSIQUES	ROMAINE	7.00	84.00	76.37
LES FROMAGES	CHEVRE-MIEL	6.00	75.00	68.16
LES CARNIVORES	KEBAB	4.00	40.50	36.81
LES CLASSIQUES	REINE	4.00	37.50	34.08
LES CLASSIQUES	CHORIZO	4.00	24.00	21.82
LES FROMAGES	4 FRO	4.00	54.00	49.08
LES ALPINES	MONTAGNARDE	3.00	26.00	23.64
LES CLASSIQUES	Pte REINE	3.00	23.70	21.54
LES CARNIVORES	APHRODITE	3.00	44.70	40.65
LES BLANCHES	DAME BLANCHE	2.00	26.00	23.64
LES BLANCHES	XENA	2.00	25.80	23.46
LES FROMAGES	3 FRO	2.00	13.00	11.82
LES CARNIVORES	HAWAIENNE	2.00	13.50	12.27
LES CARNIVORES	BURGER	2.00	27.00	24.54
LES CLASSIQUES	MARGHARITA	2.00	19.80	18.00
LES LEGUMES	VEGETARIENNE	2.00	27.00	24.54
LES ALPINES	RACLON	2.00	13.50	12.27
DESSERT	CHOCOBANANE	2.00	19.00	17.28
LES BLANCHES	NAPOLI	2.00	27.00	24.54
LES CLASSIQUES	ROYALE	2.00	0.00	0.00
LES BLANCHES	TARTIFLETTE	2.00	27.80	25.28
LES COMPOSEES	PAYSANNE	2.00	26.00	23.64
LES CARNIVORES	CIRCUS	1.00	13.90	12.64
LES COMPOSEES	CAMPAGNARDE	1.00	13.90	12.64
LES CLASSIQUES	MERGUEZ	1.00	12.50	11.36
LES BLANCHES	RAVIOLE SAUMON	1.00	14.90	13.55
LES FROMAGES	MOZZA	1.00	12.00	10.91
LES CARNIVORES	Pte BURGER	1.00	8.00	7.27
LES BLANCHES	FLAMKEUCH	1.00	0.00	0.00
LES CLASSIQUES	Pte ANCHOIS	1.00	7.90	7.18
LES CARNIVORES	INDIANA	1.00	13.00	11.82
LES BLANCHES	SAUMON	1.00	12.50	11.36
LES MARITIMES	PISSALADIERE	1.00	11.50	10.45
LES CARNIVORES	Pte BARAKOBAMA	1.00	7.90	7.18
LES BLANCHES	SWEETY CHEVRE	1.00	13.50	12.27
LES CLASSIQUES	ANCHOIS	1.00	0.00	0.00
LES BLANCHES	BERGERE	1.00	12.50	11.36
LES CARNIVORES	ARMENIENNE	1.00	13.50	12.27
LES BLANCHES	RAVIOLE BASILIC	1.00	12.50	11.36
LES BLANCHES	DELICIEUSE	1.00	12.90	11.73
LES LEGUMES	MOUSSAKA	1.00	13.90	12.64
LES FROMAGES	PARMESANE	1.00	12.50	11.36
LES CARNIVORES	CHILIENNE	1.00	13.00	11.82
LES COMPOSEES	COCHONAILLE	1.00	13.90	12.64
BOISSONS	ICE TEA 1,5L	4.00	0.00	0.00
BOISSONS	COCA COLA 1,25L	4.00	0.00	0.00
VIN	Petite balade rose	2.00	6.00	5.00
BOISSONS	Schweppes agrume	1.00	1.60	1.52
BIERE	Desperado	1.00	0.00	0.00
